"REF_DATE","GEO","DGUID","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2004","Canada","2021A000011124","Men+","35 to 39 years","Persons","249","units","0","v466816","1.2.49","1213969","","","","0"
"2005","Canada","2021A000011124","Men+","35 to 39 years","Persons","249","units","0","v466816","1.2.49","1184686","","","","0"
"2006","Canada","2021A000011124","Men+","35 to 39 years","Persons","249","units","0","v466816","1.2.49","1172778","","","","0"
"2007","Canada","2021A000011124","Men+","35 to 39 years","Persons","249","units","0","v466816","1.2.49","1162957","","","","0"
"2008","Canada","2021A000011124","Men+","35 to 39 years","Persons","249","units","0","v466816","1.2.49","1157738","","","","0"
"2009","Canada","2021A000011124","Men+","35 to 39 years","Persons","249","units","0","v466816","1.2.49","1148656","","","","0"
"2010","Canada","2021A000011124","Men+","35 to 39 years","Persons","249","units","0","v466816","1.2.49","1141961","","","","0"
"2011","Canada","2021A000011124","Men+","35 to 39 years","Persons","249","units","0","v466816","1.2.49","1133666","","","","0"
"2012","Canada","2021A000011124","Men+","35 to 39 years","Persons","249","units","0","v466816","1.2.49","1140020","","","","0"
"2013","Canada","2021A000011124","Men+","35 to 39 years","Persons","249","units","0","v466816","1.2.49","1150086","","","","0"
"2014","Canada","2021A000011124","Men+","35 to 39 years","Persons","249","units","0","v466816","1.2.49","1163276","","","","0"
"2015","Canada","2021A000011124","Men+","35 to 39 years","Persons","249","units","0","v466816","1.2.49","1171796","","","","0"
"2016","Canada","2021A000011124","Men+","35 to 39 years","Persons","249","units","0","v466816","1.2.49","1190744","","","","0"
"2017","Canada","2021A000011124","Men+","35 to 39 years","Persons","249","units","0","v466816","1.2.49","1217457","","","","0"
"2018","Canada","2021A000011124","Men+","35 to 39 years","Persons","249","units","0","v466816","1.2.49","1253133","","","","0"
"2019","Canada","2021A000011124","Men+","35 to 39 years","Persons","249","units","0","v466816","1.2.49","1289844","","","","0"
"2020","Canada","2021A000011124","Men+","35 to 39 years","Persons","249","units","0","v466816","1.2.49","1316042","","","","0"
"2021","Canada","2021A000011124","Men+","35 to 39 years","Persons","249","units","0","v466816","1.2.49","1331550","","","","0"
"2022","Canada","2021A000011124","Men+","35 to 39 years","Persons","249","units","0","v466816","1.2.49","1361943","","","","0"
"2023","Canada","2021A000011124","Men+","35 to 39 years","Persons","249","units","0","v466816","1.2.49","1423751","","","","0"
"2024","Canada","2021A000011124","Men+","35 to 39 years","Persons","249","units","0","v466816","1.2.49","1500593","","","","0"
